nj =15;
nm =5;
Modes ={
<1	1	2	66	1>
<2	1	3	85	0>
<2	1	4	85	0>
<3	1	3	84	0>
<4	1	1	62	0>
<4	1	3	62	0>
<5	1	4	19	0>
<5	1	5	19	0>
<6	2	4	59	1>
<6	2	5	59	1>
<7	2	2	64	0>
<7	2	5	64	0>
<8	2	1	46	0>
<8	2	2	46	0>
<8	2	3	46	0>
<8	2	5	46	0>
<9	2	3	13	0>
<9	2	4	13	0>
<9	2	5	13	0>
<10	2	1	25	0>
<11	3	2	88	1>
<11	3	5	88	1>
<12	3	1	80	0>
<12	3	3	80	0>
<12	3	4	80	0>
<12	3	5	80	0>
<13	3	2	73	0>
<14	3	3	53	0>
<14	3	5	53	0>
<15	3	1	41	0>
<15	3	2	41	0>
<15	3	3	41	0>
<15	3	5	41	0>
<16	4	1	14	1>
<16	4	3	14	1>
<16	4	4	14	1>
<17	4	1	67	0>
<17	4	2	67	0>
<17	4	3	67	0>
<18	4	2	57	0>
<18	4	3	57	0>
<18	4	4	57	0>
<19	4	4	74	0>
<19	4	5	74	0>
<20	4	3	47	0>
<20	4	5	47	0>
<21	5	1	84	1>
<21	5	2	84	1>
<22	5	1	64	0>
<22	5	3	64	0>
<22	5	5	64	0>
<23	5	3	41	0>
<24	5	1	84	0>
<24	5	4	84	0>
<25	5	1	78	0>
<25	5	2	78	0>
<25	5	4	78	0>
<26	6	1	63	1>
<26	6	4	63	1>
<26	6	5	63	1>
<27	6	1	28	0>
<27	6	2	28	0>
<27	6	3	28	0>
<27	6	4	28	0>
<27	6	5	28	0>
<28	6	1	46	0>
<28	6	2	46	0>
<28	6	4	46	0>
<28	6	5	46	0>
<29	6	3	26	0>
<30	6	1	52	0>
<30	6	2	52	0>
<30	6	3	52	0>
<30	6	5	52	0>
<31	7	1	10	1>
<31	7	4	10	1>
<31	7	5	10	1>
<32	7	1	17	0>
<32	7	2	17	0>
<32	7	3	17	0>
<32	7	4	17	0>
<33	7	5	73	0>
<34	7	2	11	0>
<35	7	1	64	0>
<35	7	2	64	0>
<35	7	4	64	0>
<35	7	5	64	0>
<36	8	1	67	1>
<36	8	2	67	1>
<36	8	3	67	1>
<36	8	5	67	1>
<37	8	1	97	0>
<37	8	2	97	0>
<38	8	1	95	0>
<38	8	2	95	0>
<38	8	4	95	0>
<39	8	4	38	0>
<39	8	5	38	0>
<40	8	1	85	0>
<40	8	2	85	0>
<40	8	3	85	0>
<41	9	2	95	1>
<41	9	3	95	1>
<41	9	4	95	1>
<42	9	1	46	0>
<42	9	3	46	0>
<42	9	5	46	0>
<43	9	1	59	0>
<43	9	2	59	0>
<43	9	4	59	0>
<44	9	2	65	0>
<44	9	3	65	0>
<44	9	4	65	0>
<45	9	4	93	0>
<45	9	5	93	0>
<46	10	3	43	1>
<46	10	4	43	1>
<47	10	5	85	0>
<48	10	2	32	0>
<48	10	3	32	0>
<48	10	4	32	0>
<48	10	5	32	0>
<49	10	2	85	0>
<49	10	3	85	0>
<49	10	4	85	0>
<50	10	1	60	0>
<50	10	5	60	0>
<51	11	1	49	1>
<51	11	3	49	1>
<51	11	4	49	1>
<51	11	5	49	1>
<52	11	4	41	0>
<53	11	1	61	0>
<53	11	3	61	0>
<54	11	1	66	0>
<54	11	2	66	0>
<54	11	3	66	0>
<54	11	5	66	0>
<55	11	1	90	0>
<55	11	2	90	0>
<56	12	1	17	1>
<56	12	2	17	1>
<56	12	5	17	1>
<57	12	1	23	0>
<57	12	2	23	0>
<58	12	3	70	0>
<58	12	4	70	0>
<59	12	1	99	0>
<59	12	3	99	0>
<59	12	5	99	0>
<60	12	2	49	0>
<60	12	3	49	0>
<60	12	4	49	0>
<61	13	4	40	1>
<61	13	5	40	1>
<62	13	1	73	0>
<62	13	3	73	0>
<62	13	4	73	0>
<62	13	5	73	0>
<63	13	1	73	0>
<64	13	2	98	0>
<64	13	5	98	0>
<65	13	2	68	0>
<65	13	3	68	0>
<66	14	4	57	1>
<66	14	5	57	1>
<67	14	2	9	0>
<68	14	1	7	0>
<68	14	3	7	0>
<68	14	4	7	0>
<69	14	1	13	0>
<69	14	3	13	0>
<69	14	5	13	0>
<70	14	1	98	0>
<70	14	3	98	0>
<70	14	5	98	0>
<71	15	1	37	1>
<71	15	2	37	1>
<71	15	3	37	1>
<72	15	1	85	0>
<72	15	2	85	0>
<72	15	4	85	0>
<73	15	1	17	0>
<73	15	2	17	0>
<73	15	3	17	0>
<73	15	4	17	0>
<74	15	1	79	0>
<74	15	5	79	0>
<75	15	2	41	0>
<75	15	4	41	0>
};
